LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801126	4676016			323	Atmospheric CO2 concentration during measurement (Ca)	ca	26	ppm										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801126	4676017	49	Photosynthesis: intercellular CO2 concentration	58	Intercellular CO2 concentration (ci)	ci	37	ppm	Single				37	ppm		4675815	9.79051	unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801126	4676019			322	Temperature during measurement	leaf temperature	27.8	C										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801127	4676020			561	Measurement series ID	Measurement series ID	71											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801127	4676021			834	Sample ID (Accession ID)	Set_in_Workbook	320											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801127	4676022			323	Atmospheric CO2 concentration during measurement (Ca)	ca	28	ppm										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801127	4676023	49	Photosynthesis: intercellular CO2 concentration	58	Intercellular CO2 concentration (ci)	ci	42	ppm	Single				42	ppm			9.0598	unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801127	4676025			322	Temperature during measurement	leaf temperature	29	C										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801128	4676026			561	Measurement series ID	Measurement series ID	72											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801128	4676027			834	Sample ID (Accession ID)	Set_in_Workbook	321											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801128	4676028			323	Atmospheric CO2 concentration during measurement (Ca)	ca	27	ppm										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801128	4676029	49	Photosynthesis: intercellular CO2 concentration	58	Intercellular CO2 concentration (ci)	ci	40	ppm	Single				40	ppm		4675829	9.34107	unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801128	4676031			322	Temperature during measurement	leaf temperature	27.9	C										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801129	4676032			561	Measurement series ID	Measurement series ID	73											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801129	4676033			834	Sample ID (Accession ID)	Set_in_Workbook	322											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801129	4676034			323	Atmospheric CO2 concentration during measurement (Ca)	ca	63.5	ppm										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801129	4676035	49	Photosynthesis: intercellular CO2 concentration	58	Intercellular CO2 concentration (ci)	ci	61	ppm	Single				61	ppm			6.96346	unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801129	4676037			322	Temperature during measurement	leaf temperature	28.65	C										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801130	4676038			561	Measurement series ID	Measurement series ID	74											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801130	4676039			834	Sample ID (Accession ID)	Set_in_Workbook	323											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801130	4676040			323	Atmospheric CO2 concentration during measurement (Ca)	ca	26	ppm										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801130	4676041	49	Photosynthesis: intercellular CO2 concentration	58	Intercellular CO2 concentration (ci)	ci	46	ppm	Single				46	ppm			8.53535	unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801130	4676043			322	Temperature during measurement	leaf temperature	29.2	C										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801131	4676044			561	Measurement series ID	Measurement series ID	75											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801131	4676045			834	Sample ID (Accession ID)	Set_in_Workbook	324											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801131	4676046			323	Atmospheric CO2 concentration during measurement (Ca)	ca	59	ppm										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801131	4676047	49	Photosynthesis: intercellular CO2 concentration	58	Intercellular CO2 concentration (ci)	ci	59	ppm	Single				59	ppm			7.14485	unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801131	4676049			322	Temperature during measurement	leaf temperature	28.9	C										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801132	4676050			561	Measurement series ID	Measurement series ID	76											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801132	4676051			834	Sample ID (Accession ID)	Set_in_Workbook	325											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801132	4676052			323	Atmospheric CO2 concentration during measurement (Ca)	ca	27	ppm										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801132	4676053	49	Photosynthesis: intercellular CO2 concentration	58	Intercellular CO2 concentration (ci)	ci	39	ppm	Single				39	ppm			9.48703	unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801132	4676055			322	Temperature during measurement	leaf temperature	28.2	C										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801133	4676056			561	Measurement series ID	Measurement series ID	77											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801133	4676057			834	Sample ID (Accession ID)	Set_in_Workbook	326											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801133	4676058			323	Atmospheric CO2 concentration during measurement (Ca)	ca	64	ppm										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801133	4676059	49	Photosynthesis: intercellular CO2 concentration	58	Intercellular CO2 concentration (ci)	ci	60	ppm	Single				60	ppm			7.0534	unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801133	4676061			322	Temperature during measurement	leaf temperature	29.1	C										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801134	4676062			561	Measurement series ID	Measurement series ID	78											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801134	4676063			834	Sample ID (Accession ID)	Set_in_Workbook	327											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801134	4676064			323	Atmospheric CO2 concentration during measurement (Ca)	ca	63	ppm										unpub.			
